date,hour,MT_200
2011-01-01,0,1247.7973568281939
2011-01-01,1,1475.770925110133
2011-01-01,2,1397.5770925110141
2011-01-01,3,1363.436123348017
2011-01-01,4,1314.977973568282
2011-01-01,5,1308.370044052863
2011-01-01,6,1461.453744493393
2011-01-01,7,1651.982378854626
2011-01-01,8,1545.1541850220271
2011-01-01,9,1612.3348017621138
2011-01-01,10,1623.348017621145
2011-01-01,11,1668.5022026431718
2011-01-01,12,1642.070484581497
2011-01-01,13,1651.9823788546262
2011-01-01,14,1509.911894273129
2011-01-01,15,1438.3259911894281
2011-01-01,16,1435.022026431719
2011-01-01,17,1530.8370044052858
2011-01-01,18,1680.6167400881068
2011-01-01,19,1685.022026431719
2011-01-01,20,1688.325991189427
2011-01-01,21,1780.837004405287
2011-01-01,22,1731.277533039648
2011-01-01,23,1614.537444933921
2011-01-02,0,1889.867841409691
2011-01-02,1,1404.185022026431
2011-01-02,2,1247.7973568281932
2011-01-02,3,1251.101321585902
2011-01-02,4,1938.325991189427
2011-01-02,5,2185.022026431718
2011-01-02,6,2273.127753303964
2011-01-02,7,2687.224669603524
2011-01-02,8,2883.259911894273
2011-01-02,9,3701.5418502202647
2011-01-02,10,4042.9515418502224
2011-01-02,11,4105.726872246701
2011-01-02,12,4155.28634361233
2011-01-02,13,4317.18061674009
2011-01-02,14,4207.04845814978
2011-01-02,15,4006.607929515411
2011-01-02,16,4079.29515418501
2011-01-02,17,4196.035242290761
2011-01-02,18,4337.00440528635
2011-01-02,19,4265.41850220264
2011-01-02,20,4200.44052863436
2011-01-02,21,4078.1938325991196
2011-01-02,22,4003.303964757705
2011-01-02,23,3462.5550660792956
2011-01-03,0,2516.519823788546
2011-01-03,1,1838.1057268722461
2011-01-03,2,1763.2158590308368
2011-01-03,3,1751.101321585903
2011-01-03,4,1722.4669603524221
2011-01-03,5,1853.52422907489
2011-01-03,6,2486.784140969162
2011-01-03,7,2868.9427312775324
2011-01-03,8,3207.048458149779
2011-01-03,9,4105.726872246701
2011-01-03,10,4122.246696035239
2011-01-03,11,4038.546255506595
2011-01-03,12,4062.7753303964682
2011-01-03,13,4150.881057268721
2011-01-03,14,4160.792951541849
2011-01-03,15,4135.46255506609
2011-01-03,16,4099.11894273128
2011-01-03,17,4218.061674008801
2011-01-03,18,4345.8149779735795
2011-01-03,19,4300.66079295155
2011-01-03,20,4211.453744493399
2011-01-03,21,4181.71806167401
2011-01-03,22,4125.55066079295
2011-01-03,23,3529.7356828193806
2011-01-04,0,2509.911894273128
2011-01-04,1,2169.603524229075
2011-01-04,2,2045.1541850220258
2011-01-04,3,1975.7709251101319
2011-01-04,4,1933.920704845815
2011-01-04,5,2137.665198237886
2011-01-04,6,2588.105726872246
2011-01-04,7,2720.2643171806158
2011-01-04,8,3063.876651982379
2011-01-04,9,4183.920704845814
2011-01-04,10,4238.98678414098
2011-01-04,11,4135.46255506608
2011-01-04,12,4124.44933920705
2011-01-04,13,4263.21585903084
2011-01-04,14,4313.87665198238
2011-01-04,15,4294.05286343612
2011-01-04,16,4321.5859030837
2011-01-04,17,4298.45814977973
2011-01-04,18,4424.008810572679
2011-01-04,19,4465.859030836999
2011-01-04,20,4439.4273127753295
2011-01-04,21,4316.07929515418
2011-01-04,22,4138.76651982379
2011-01-04,23,3377.7533039647606
2011-01-05,0,2178.4140969162986
2011-01-05,1,1720.2643171806171
2011-01-05,2,1572.6872246696041
2011-01-05,3,1528.6343612334808
2011-01-05,4,1514.31718061674
2011-01-05,5,1821.585903083701
2011-01-05,6,2322.687224669604
2011-01-05,7,2687.224669603524
2011-01-05,8,3020.9251101321593
2011-01-05,9,4045.154185022023
2011-01-05,10,4116.74008810573
2011-01-05,11,4070.4845814977907
2011-01-05,12,4248.8986784141
2011-01-05,13,4240.088105726881
2011-01-05,14,4277.533039647571
2011-01-05,15,4194.933920704831
2011-01-05,16,4330.39647577092
2011-01-05,17,4341.4096916299595
2011-01-05,18,4493.3920704845805
2011-01-05,19,4403.083700440529
2011-01-05,20,4290.74889867842
2011-01-05,21,4185.02202643171
2011-01-05,22,4154.18502202643
2011-01-05,23,3435.022026431722
2011-01-06,0,2127.753303964758
2011-01-06,1,1558.370044052864
2011-01-06,2,1491.189427312775
2011-01-06,3,1430.6167400881059
2011-01-06,4,1431.7180616740102
2011-01-06,5,1993.39207048458
2011-01-06,6,2378.85462555066
2011-01-06,7,2927.312775330396
2011-01-06,8,3122.2466960352417
2011-01-06,9,4070.4845814977916
2011-01-06,10,4221.3656387665205
2011-01-06,11,4196.03524229074
2011-01-06,12,4180.6167400881
2011-01-06,13,4305.06607929515
2011-01-06,14,4259.91189427313
2011-01-06,15,4317.18061674009
2011-01-06,16,4410.79295154185
2011-01-06,17,4471.3656387665305
2011-01-06,18,4568.28193832599
2011-01-06,19,4388.7665198238
2011-01-06,20,4279.73568281938
2011-01-06,21,4183.92070484582
2011-01-06,22,4112.33480176211
2011-01-06,23,3376.651982378852
2011-01-07,0,2226.8722466960357
2011-01-07,1,1624.449339207049
2011-01-07,2,1512.114537444934
2011-01-07,3,1452.643171806167
2011-01-07,4,1461.453744493391
2011-01-07,5,1493.392070484581
2011-01-07,6,2611.233480176211
2011-01-07,7,2925.11013215859
2011-01-07,8,3323.788546255506
2011-01-07,9,4209.251101321597
2011-01-07,10,4191.629955947141
2011-01-07,11,4240.08810572687
2011-01-07,12,4245.59471365639
2011-01-07,13,4111.23348017622
2011-01-07,14,4133.25991189427
2011-01-07,15,4193.83259911894
2011-01-07,16,4189.4273127753295
2011-01-07,17,4321.58590308369
2011-01-07,18,4459.2511013216
2011-01-07,19,4383.25991189427
2011-01-07,20,4237.88546255506
2011-01-07,21,4193.83259911893
2011-01-07,22,4122.24669603524
2011-01-07,23,4024.2290748898745
2011-01-08,0,3243.392070484581
2011-01-08,1,2214.757709251102
2011-01-08,2,2023.127753303965
2011-01-08,3,1983.480176211454
2011-01-08,4,1985.682819383261
2011-01-08,5,2616.7400881057274
2011-01-08,6,2552.863436123348
2011-01-08,7,3112.334801762116
2011-01-08,8,3646.475770925109
2011-01-08,9,4375.550660792949
2011-01-08,10,4410.79295154184
2011-01-08,11,4429.51541850221
2011-01-08,12,4428.4140969163
2011-01-08,13,4383.25991189427
2011-01-08,14,4223.56828193833
2011-01-08,15,4134.36123348017
2011-01-08,16,4248.8986784141
2011-01-08,17,4342.511013215861
2011-01-08,18,4463.6563876652
2011-01-08,19,4448.23788546256
2011-01-08,20,4257.709251101331
2011-01-08,21,4221.3656387665105
2011-01-08,22,4081.4977973568202
2011-01-08,23,3946.035242290746
2011-01-09,0,3074.8898678414093
2011-01-09,1,2048.4581497797362
2011-01-09,2,1884.361233480176
2011-01-09,3,1839.20704845815
2011-01-09,4,2004.405286343612
2011-01-09,5,2412.995594713657
2011-01-09,6,2397.5770925110132
2011-01-09,7,2911.894273127754
2011-01-09,8,3150.8810572687216
2011-01-09,9,3918.5022026431743
2011-01-09,10,4133.25991189428
2011-01-09,11,4120.04405286343
2011-01-09,12,4165.19823788545
2011-01-09,13,4187.22466960352
2011-01-09,14,4116.74008810573
2011-01-09,15,4017.621145374445
2011-01-09,16,4053.96475770924
